id,relevance_score,confidence_score,freebase_types,desc_index
Gebäudereiniger,0.4398,3.369,"['/organization/organization_sector', '/book/book_subject']",0
Reinigung (Instandhaltung),0.3763,1.031,['/film/film_subject'],0
Führerschein,0.2773,2.368,[],0
Hygiene,0.2627,3.086,"['/business/product_category', '/medicine/medical_treatment', '/film/film_subject', '/media_common/quotation_subject', '/medicine/disease_cause', '/book/book_subject', '/business/industry']",0
Sanitärtechnik,0.2361,5.031,"['/organization/organization_sector', '/business/industry']",0
Führerschein,0.2357,1.62,[],0
Abfalleimer,0.1937,1.897,['/business/product_category'],0
Duale Ausbildung,0.175,2.675,[],0
Handwerkskammer,0.1148,2.069,[],0
Berufsbildungsreife,0.07451,2.312,[],0
Materialkosten,0.07417,1.975,[],1
Seidentuch,0.06569,2.329,[],1
Herzstück,0.0,0.5,['/location/location'],1
296,0.0,0.5,[],1
9.99999999999999999827,0.0,0.5,[],1
30,0.0,0.5,[],1
9,0.0,0.5,[],1
12.9999999999999999974,0.0,0.5,[],1
Altenheim,0.4086,2.206,"['/business/industry', '/architecture/building_function', '/organization/organization_sector']",2
Anonymität im Internet,0.08691,1.237,[],2
Berlin-Steglitz,0.06187,2.056,['/location/location'],2
Botanischer Garten,0.04504,1.003,['/book/book_subject'],2
2003,0.0,0.5,[],2
42,0.0,0.5,[],2
Schlüsselqualifikation,0.168,1.326,[],3
DFL Stiftung,0.1308,3.58,"['/business/employer', '/organization/organization']",3
Team,0.128,1.366,[],3
KIDZ,0.0,0.5,['/organization/organization'],3
Educational technology,0.3718,2.894,"['/education/field_of_study', '/people/profession']",4
Jitsi,0.2714,1.248,['/computer/software'],4
Zoom Video Communications,0.2674,1.043,"['/business/business_operation', '/business/employer', '/organization/organization']",4
Computermaus,0.2455,3.596,"['/law/invention', '/computer/computer_peripheral_class', '/computer/computer_peripheral', '/cvg/input_method', '/award/ranked_item', '/law/us_patent', '/business/consumer_product']",4
Tastatur,0.231,6.572,"['/business/product_category', '/cvg/input_method', '/computer/computer_peripheral', '/business/consumer_product', '/computer/computer_peripheral_class']",4
Kommunikation,0.1847,1.2,"['/media_common/quotation_subject', '/education/field_of_study', '/business/industry', '/computer/software_genre', '/book/book_subject', '/organization/organization_sector', '/internet/website_category', '/organization/contact_category']",4
Mehrgenerationenhaus,0.1843,3.112,[],4
Hausunterricht,0.1722,4.296,"['/religion/religious_practice', '/fictional_universe/school_in_fiction', '/tv/tv_subject']",4
Bildschirm,0.09853,1.429,[],4
Bezirk Friedrichshain-Kreuzberg,0.09311,2.157,"['/location/administrative_division', '/government/political_district', '/location/de_borough', '/location/statistical_region', '/location/location', '/location/dated_location']",4
0.0999999999999999999878,0.0,0.5,[],4
Anton App,0.0,0.5,['/organization/organization'],4
Bezirk Treptow-Köpenick,0.1102,1.444,"['/location/statistical_region', '/location/de_borough', '/location/administrative_division', '/location/location', '/location/dated_location']",5
Collagen,0.01949,1.505,"['/chemistry/chemical_classification', '/business/product_ingredient']",5
18:30,0.0,0.5,[''],5
21:00,0.0,0.5,[''],5
Guy,0.0,0.5,['/people/person'],5
Bezirksamt Treptow-Köpenick,0.0,0.5,['/location/location'],5
4,0.0,0.5,[],5
2,0.0,0.5,[],5
Ressourcenorientierung,0.4179,1.323,"['/business/competitive_space', '/book/book_subject', '/business/industry', '/organization/organization_sector', '/education/field_of_study']",6
Ressource,0.3497,1.191,[],6
Autonomie,0.3482,1.855,"['/media_common/quotation_subject', '/book/book_subject']",6
Selbsthilfegruppe,0.3141,0.9915,"['/broadcast/genre', '/film/film_genre', '/media_common/media_genre', '/media_common/quotation_subject', '/business/consumer_product', '/media_common/literary_genre', '/book/book_subject', '/tv/tv_genre']",6
Kommunikation,0.2807,2.795,"['/media_common/quotation_subject', '/education/field_of_study', '/business/industry', '/computer/software_genre', '/book/book_subject', '/organization/organization_sector', '/internet/website_category', '/organization/contact_category']",6
Kindertagesstätte,0.2338,1.226,"['/book/book_subject', '/travel/accommodation_feature']",6
Berlin-Neukölln,0.08074,1.301,"['/location/dated_location', '/location/location', '/location/citytown', '/location/statistical_region']",7
Carpe diem,0.05262,2.888,[],7
15,0.0,0.5,[],7
Lichtenberg,0.0,0.5,['/location/location'],7
Queer,0.2551,1.469,[],8
Homosexualität,0.2137,1.126,"['/book/book_subject', '/law/legal_subject', '/film/film_subject', '/cvg/computer_game_subject', '/media_common/quotation_subject']",8
Kinder- und Jugendfreizeiteinrichtung,0.1753,1.071,[],8
Intergeschlechtlichkeit,0.16,3.639,['/film/film_subject'],8
Lesbisch,0.1472,5.28,"['/book/book_subject', '/tv/tv_subject', '/book/periodical_subject', '/internet/website_category', '/film/film_subject', '/media_common/netflix_genre']",8
Transgeschlechtlichkeit,0.1292,6.026,['/book/book_subject'],8
Berlin,0.07524,2.546,"['/periodicals/newspaper_circulation_area', '/location/de_state', '/location/location', '/sports/sports_team_location', '/symbols/name_source', '/people/place_of_interment', '/business/employer', '/location/place_with_neighborhoods', '/location/de_city', '/book/book_subject', '/business/business_location', '/olympics/olympic_bidding_city', '/protected_sites/listed_site', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/travel/travel_destination', '/olympics/olympic_host_city', '/organization/organization_scope', '/government/governmental_jurisdiction', '/location/citytown', '/fictional_universe/fictional_setting', '/film/film_location']",8
Website,0.07207,1.456,"['/book/book_subject', '/business/industry', '/award/award_category', '/dataworld/information_source', '/fictional_universe/fictional_organization_type', '/organization/non_profit_organization', '/location/location', '/internet/website_category', '/award/award_discipline', '/organization/contact_category', '/business/business_location', '/education/school_category', '/organization/role', '/business/employer', '/organization/organization_sector', '/organization/organization']",8
Stress,0.04,1.723,"['/book/book_subject', '/medicine/risk_factor', '/media_common/quotation_subject', '/medicine/disease_cause']",8
Inter,0.0,0.5,['/organization/organization'],8
14,0.0,0.5,[],8
lambda-bb.de,0.0,0.5,[''],8
Selbsthilfegruppe,0.4172,1.402,"['/broadcast/genre', '/film/film_genre', '/media_common/media_genre', '/media_common/quotation_subject', '/business/consumer_product', '/media_common/literary_genre', '/book/book_subject', '/tv/tv_genre']",9
Ehrenamt,0.1589,2.416,"['/business/job_title', '/fictional_universe/character_occupation', '/tv/tv_subject']",9
Bezirk Marzahn-Hellersdorf,0.06257,1.779,"['/location/location', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/location/de_borough']",9
Körnerpark,0.1099,3.568,[],10
S-Bahnhof Neukölln,0.0,0.5,['/location/location'],10
Berlin-Neukölln,0.0,1.642,"['/location/dated_location', '/location/location', '/location/citytown', '/location/statistical_region']",10
Obdachlosigkeit,0.4683,2.395,"['/film/film_subject', '/organization/organization_sector', '/radio/radio_subject', '/book/book_subject', '/fictional_universe/character_occupation']",11
Wohnungslosigkeit,0.3646,2.308,[],11
Hörverlust,0.4422,2.273,['/medicine/disease'],12
Gehörlosigkeit,0.4105,3.103,"['/medicine/icd_9_cm_classification', '/medicine/symptom', '/organization/organization_sector', '/book/book_subject', '/medicine/disease', '/fictional_universe/medical_condition_in_fiction']",12
Gehörlosigkeit,0.4105,2.974,"['/medicine/icd_9_cm_classification', '/medicine/symptom', '/organization/organization_sector', '/book/book_subject', '/medicine/disease', '/fictional_universe/medical_condition_in_fiction']",12
Gehörlosigkeit,0.4105,2.021,"['/medicine/icd_9_cm_classification', '/medicine/symptom', '/organization/organization_sector', '/book/book_subject', '/medicine/disease', '/fictional_universe/medical_condition_in_fiction']",12
Hörverlust,0.3004,2.831,['/medicine/disease'],12
Kinder- und Jugendfreizeiteinrichtung,0.2633,1.007,[],12
Säugling,0.3322,0.9892,"['/film/film_subject', '/tv/tv_subject', '/medicine/risk_factor', '/book/book_subject']",13
Geburt,0.2919,1.76,"['/exhibitions/exhibition_subject', '/radio/radio_subject', '/medicine/medical_treatment', '/medicine/risk_factor', '/book/book_subject', '/people/cause_of_death']",13
Schwangerschaft,0.1708,1.759,"['/book/book_subject', '/tv/tv_subject', '/media_common/quotation_subject', '/visual_art/art_subject', '/film/film_subject', '/medicine/disease_cause', '/medicine/icd_9_cm_classification', '/medicine/disease', '/medicine/contraindication', '/radio/radio_subject', '/medicine/risk_factor']",13
Erziehung,0.1215,1.193,"['/media_common/media_genre', '/book/periodical_subject', '/book/book_subject', '/organization/organization_sector', '/broadcast/genre', '/film/film_subject', '/internet/website_category']",13
Yoga,0.1018,2.87,"['/sports/sport', '/book/book_subject', '/religion/religious_practice', '/film/film_subject', '/organization/organization_sector']",13
Babymassage,0.0799,2.181,[],13
Berlin-Neukölln,0.04627,1.577,"['/location/dated_location', '/location/location', '/location/citytown', '/location/statistical_region']",13
Kinder- und Jugendhilfe,0.04534,1.967,[],13
Kiez,0.01666,2.853,[],13
Harzer Kiez,0.0,0.5,['/location/location'],13
5,0.0,0.5,[],13
Mamas & Papas,0.0,2.039,"['/organization/organization', '/business/business_location', '/business/employer', '/business/business_operation']",13
151,0.0,0.5,[],13
4616,0.0,0.5,[],13
9809,0.0,0.5,[],13
Indische,0.0,0.5,['/location/location'],13
praeventionszentrum@tandembtl.de,0.0,0.5,[''],13
0.299999999999999999957,0.0,0.5,[],13
Psychologische Beratung,0.3954,2.157,"['/business/industry', '/medicine/medical_treatment', '/education/field_of_study', '/organization/organization_sector']",14
Schwangerschaftsabbruch,0.3804,9.026,['/book/book_subject'],14
Psychosoziale Beratung,0.3775,2.418,[],14
Arbeitslosengeld II,0.3416,3.416,[],14
Schwangerschaftsabbruch,0.3079,10.84,['/book/book_subject'],14
Arbeitslosengeld II,0.3069,1.923,[],14
Soziale Arbeit,0.2932,4.098,"['/organization/organization_sector', '/education/field_of_study', '/book/book_subject']",14
Autonomie,0.2786,1.26,"['/media_common/quotation_subject', '/book/book_subject']",14
Datenschutz,0.2531,3.655,['/book/book_subject'],14
Sozialpsychologie,0.2448,5.946,"['/education/field_of_study', '/book/book_subject']",14
Verschwiegenheitspflicht,0.2281,3.581,[],14
Psychologie,0.2136,9.575,"['/media_common/quotation_subject', '/media_common/literary_genre', '/exhibitions/exhibition_subject', '/kp_lw/philosophy_interest', '/broadcast/genre', '/kp_lw/common/topic', '/media_common/media_genre', '/business/industry', '/education/field_of_study', '/award/award_discipline', '/medicine/medical_specialty', '/book/book_subject', '/film/film_subject', '/organization/organization_sector']",14
Ehe,0.2082,1.112,"['/visual_art/art_subject', '/book/book_subject', '/law/legal_subject', '/media_common/quotation_subject', '/religion/religious_practice', '/film/film_subject', '/people/marriage_union_type', '/tv/tv_subject']",14
Anonymität,0.2011,2.401,['/education/field_of_study'],14
Pränataldiagnostik,0.1999,6.453,[],14
Psychologie,0.1942,9.575,"['/media_common/quotation_subject', '/media_common/literary_genre', '/exhibitions/exhibition_subject', '/kp_lw/philosophy_interest', '/broadcast/genre', '/kp_lw/common/topic', '/media_common/media_genre', '/business/industry', '/education/field_of_study', '/award/award_discipline', '/medicine/medical_specialty', '/book/book_subject', '/film/film_subject', '/organization/organization_sector']",14
Schwangerschaft,0.1918,10.38,"['/book/book_subject', '/tv/tv_subject', '/media_common/quotation_subject', '/visual_art/art_subject', '/film/film_subject', '/medicine/disease_cause', '/medicine/icd_9_cm_classification', '/medicine/disease', '/medicine/contraindication', '/radio/radio_subject', '/medicine/risk_factor']",14
Rechtsberatung,0.1392,0.9696,['/organization/organization_sector'],14
Berlin-Prenzlauer Berg,0.07226,4.373,"['/location/location', '/location/citytown', '/film/film_location', '/location/statistical_region', '/location/dated_location']",14
Tauschbörse,0.02357,3.32,['/organization/organization_sector'],14
Stiftung Hilfe,0.0,0.5,['/organization/organization'],14
218,0.0,0.5,[],14
25,0.0,0.5,[],14
Gutshaus Lichterfelde,0.3466,1.961,['/location/location'],16
Gutshaus Lichterfelde,0.3377,2.238,['/location/location'],16
Café,0.3347,4.227,"['/travel/accommodation_feature', '/business/industry', '/dining/cuisine', '/architecture/building_function', '/organization/organization_sector', '/fictional_universe/type_of_fictional_setting']",16
Kuchen,0.2178,1.061,"['/book/book_subject', '/food/dish', '/food/type_of_dish']",16
Tee,0.1947,5.295,"['/media_common/quotation_subject', '/food/ingredient', '/food/beverage_type', '/book/book_subject', '/distilled_spirits/distilled_spirit_type', '/food/food', '/food/beverage', '/distilled_spirits/blended_spirit', '/business/industry']",16
Kaffee,0.1761,8.726,"['/food/beverage_type', '/food/food', '/media_common/quotation_subject', '/interests/hobbyist', '/business/product_category', '/food/ingredient', '/book/book_subject', '/food/beverage', '/celebrities/abused_substance']",16
Kommunikation,0.1705,1.043,"['/media_common/quotation_subject', '/education/field_of_study', '/business/industry', '/computer/software_genre', '/book/book_subject', '/organization/organization_sector', '/internet/website_category', '/organization/contact_category']",16
Brötchen,0.1658,1.694,[],16
Kindertagesstätte,0.1581,1.742,"['/book/book_subject', '/travel/accommodation_feature']",16
Berlin-Steglitz,0.1507,2.246,['/location/location'],16
Berlin-Lichterfelde,0.0705,1.666,['/location/location'],16
1999,0.0,0.5,[],16
1,0.0,0.5,[],16
Manuela Kolinski,0.0,0.5,['/people/person'],16
Marzahn-Mitte,0.3111,1.416,['/location/location'],17
Ehrenamt,0.2644,2.788,"['/business/job_title', '/fictional_universe/character_occupation', '/tv/tv_subject']",17
Lebensberatung,0.2101,2.177,[],17
Gemeinwesenarbeit,0.2031,3.273,[],17
E-Mail,0.1522,4.015,"['/organization/organization_sector', '/internet/website_category', '/organization/contact_category', '/film/film_subject', '/computer/software_genre', '/book/book_subject', '/law/invention']",17
Telefon,0.1415,2.214,"['/book/book_subject', '/organization/contact_category', '/interests/collection_category', '/business/product_category', '/award/ranked_item', '/law/us_patent', '/law/invention']",17
Internet,0.2796,12.77,"['/film/film_subject', '/organization/organization_sector', '/education/school_category', '/media_common/media_genre', '/internet/website_category', '/business/industry', '/education/field_of_study', '/law/invention', '/tv/tv_network', '/tv/tv_subject', '/book/book_subject', '/media_common/quotation_subject']",18
Behinderung,0.2226,1.682,"['/media_common/quotation_subject', '/book/book_subject', '/organization/organization_sector', '/tv/tv_subject', '/film/film_subject']",18
Behinderung,0.2226,1.598,"['/media_common/quotation_subject', '/book/book_subject', '/organization/organization_sector', '/tv/tv_subject', '/film/film_subject']",18
Rechnernetz,0.1785,1.465,"['/education/field_of_study', '/book/book_subject', '/business/industry']",18
Berlin,0.1723,2.556,"['/periodicals/newspaper_circulation_area', '/location/de_state', '/location/location', '/sports/sports_team_location', '/symbols/name_source', '/people/place_of_interment', '/business/employer', '/location/place_with_neighborhoods', '/location/de_city', '/book/book_subject', '/business/business_location', '/olympics/olympic_bidding_city', '/protected_sites/listed_site', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/travel/travel_destination', '/olympics/olympic_host_city', '/organization/organization_scope', '/government/governmental_jurisdiction', '/location/citytown', '/fictional_universe/fictional_setting', '/film/film_location']",18
Smartphone,0.1674,12.41,"['/book/book_subject', '/computer/computing_platform', '/business/product_category', '/business/competitive_space', '/cvg/cvg_platform', '/internet/website_category']",18
Landesebene,0.0,0.5,['/location/location'],18
SoVD,0.0,0.5,['/organization/organization'],18
WhatsApp,0.1743,8.086,['/computer/software'],19
Gustatorische Wahrnehmung,0.1548,3.002,[],19
COVID-19-Pandemie,0.1471,19.94,['/event/disaster'],19
Insekten,0.1333,1.63,"['/media_common/quotation_subject', '/fictional_universe/character_species', '/biology/organism_classification']",19
15:00,0.0,0.5,[''],19
0151/64,0.0,0.5,[''],19
65,0.0,0.5,[],19
57,0.0,0.5,[],19
Hilfsmittel (Rehabilitation),0.2813,4.188,"['/book/book_subject', '/business/industry', '/organization/organization_sector', '/organization/organization']",20
Barrierefreiheit,0.2325,1.516,['/organization/organization_sector'],20
Assistenz (Behindertenhilfe),0.3435,1.621,[],21
Privatsphäre,0.292,1.874,"['/media_common/quotation_subject', '/film/film_subject', '/law/legal_subject', '/book/book_subject']",21
Autonomie,0.2485,1.386,"['/media_common/quotation_subject', '/book/book_subject']",21
Circadiane Rhythmik,0.1463,1.364,[],21
Chat,0.227,2.082,[],22
Safer Use,0.173,2.858,[],22
Hotline,0.09272,1.729,[],22
030/19237,0.0,0.5,[''],22
www.drogennotdienst.de,0.0,0.5,[''],22
Humanistischer Verband Deutschlands,0.4128,1.423,[],23
Berlin,0.1981,2.235,"['/periodicals/newspaper_circulation_area', '/location/de_state', '/location/location', '/sports/sports_team_location', '/symbols/name_source', '/people/place_of_interment', '/business/employer', '/location/place_with_neighborhoods', '/location/de_city', '/book/book_subject', '/business/business_location', '/olympics/olympic_bidding_city', '/protected_sites/listed_site', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/travel/travel_destination', '/olympics/olympic_host_city', '/organization/organization_scope', '/government/governmental_jurisdiction', '/location/citytown', '/fictional_universe/fictional_setting', '/film/film_location']",23
Brandenburg,0.1523,2.043,"['/organization/organization_scope', '/location/administrative_division', '/location/de_state', '/location/location', '/government/governmental_jurisdiction', '/location/statistical_region', '/location/dated_location', '/periodicals/newspaper_circulation_area']",23
Offene Kinder- und Jugendarbeit,0.3766,1.463,[],24
Kinder- und Jugendfreizeiteinrichtung,0.2342,2.052,[],24
Fußball,0.2147,2.384,"['/olympics/olympic_participating_country', '/interests/hobby', '/book/book_subject', '/olympics/olympic_sport', '/media_common/media_genre', '/organization/club_interest', '/interests/hobbyist', '/internet/website_category', '/sports/sport', '/award/competition_type', '/award/award_discipline', '/cvg/computer_game_subject', '/film/film_subject', '/interests/interest', '/cvg/cvg_genre', '/organization/organization_sector', '/award/hall_of_fame_induction_category', '/broadcast/genre', '/media_common/netflix_genre', '/book/periodical_subject', '/tv/tv_subject', '/exhibitions/exhibition_subject', '/comic_books/comic_book_genre', '/sports/school_sports_team', '/award/hall_of_fame_discipline', '/sports/sports_team']",24
Basketball,0.1969,6.945,"['/fictional_universe/fictional_organization_type', '/interests/interest', '/sports/school_sports_team', '/book/book_subject', '/cvg/computer_game_subject', '/organization/organization_sector', '/media_common/media_genre', '/broadcast/genre', '/sports/sports_team', '/interests/hobby', '/olympics/olympic_sport', '/cvg/cvg_genre', '/award/competition_type', '/award/award_discipline', '/film/film_subject', '/law/invention', '/media_common/netflix_genre', '/education/field_of_study', '/sports/sport']",24
Volleyball,0.1625,6.787,"['/law/invention', '/cvg/computer_game_subject', '/interests/interest', '/sports/sport', '/interests/hobby', '/sports/sports_team', '/olympics/olympic_sport', '/sports/school_sports_team', '/organization/organization_sector']",24
Tischtennis,0.1422,3.081,"['/cvg/computer_game_subject', '/organization/organization_sector', '/interests/interest', '/interests/hobby', '/film/film_subject', '/book/book_subject', '/olympics/olympic_sport', '/sports/sport']",24
Kräutergarten,0.1022,1.773,[],24
Essen,0.08745,1.968,"['/location/de_city', '/periodicals/newspaper_circulation_area', '/location/location', '/fictional_universe/fictional_setting', '/location/administrative_division', '/location/citytown', '/sports/sports_team_location', '/protected_sites/listed_site', '/location/de_urban_district', '/location/statistical_region', '/location/dated_location']",24
Berlin-Rudow,0.06806,2.639,['/location/location'],24
Schlittschuh,0.06343,1.152,"['/business/product_category', '/sports/sports_equipment', '/fashion/garment']",24
Darts,0.05616,2.228,"['/sports/sport', '/interests/interest', '/cvg/computer_game_subject', '/interests/hobby']",24
Boxen,0.04641,3.955,"['/media_common/quotation_subject', '/tv/tv_subject', '/sports/sport', '/film/film_subject', '/media_common/media_genre', '/martial_arts/martial_art', '/olympics/olympic_sport', '/cvg/computer_game_subject', '/book/book_subject', '/organization/organization_sector', '/broadcast/genre', '/music/music_video_subject', '/visual_art/art_subject', '/media_common/netflix_genre']",24
Gemüse,0.03825,1.046,"['/book/book_subject', '/visual_art/art_subject', '/food/ingredient', '/food/food']",24
JFE BlueBox,0.0,0.5,['/organization/organization'],24
Neuköllner,0.0,0.5,['/location/location'],24
BlueBox,0.0,0.5,['/organization/organization'],24
2016,0.0,0.5,[],24
Pflegende Angehörige,0.3505,2.462,[],25
Behinderung,0.2878,1.343,"['/media_common/quotation_subject', '/book/book_subject', '/organization/organization_sector', '/tv/tv_subject', '/film/film_subject']",25
Berlin-Staaken,0.2757,2.293,['/location/location'],25
Pflegebedarf,0.2605,1.617,[],25
Berlin,0.1265,2.176,"['/periodicals/newspaper_circulation_area', '/location/de_state', '/location/location', '/sports/sports_team_location', '/symbols/name_source', '/people/place_of_interment', '/business/employer', '/location/place_with_neighborhoods', '/location/de_city', '/book/book_subject', '/business/business_location', '/olympics/olympic_bidding_city', '/protected_sites/listed_site', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/travel/travel_destination', '/olympics/olympic_host_city', '/organization/organization_scope', '/government/governmental_jurisdiction', '/location/citytown', '/fictional_universe/fictional_setting', '/film/film_location']",25
Sichtfeld,0.07494,1.613,[],25
Unique Visit,0.06979,1.622,[],25
Barrierefreiheit,0.2105,1.307,['/organization/organization_sector'],26
