de,en,id,title
"Die integra gGmbH bietet die Möglichkeit einer dualen Ausbildung zum Glas- und Gebäudereiniger/in.
Glas- und Gebäudereiniger/innen sind für die Unterhaltsreinigung und zahlreiche weitere Bereiche zuständig. Sie säubern Schreibtische, Schränke und Böden, saugen die Teppiche, leeren Abfalleimer, reinigen die sanitären Anlagen und vieles mehr.
Gebäudereiniger/in ist ein von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung, für den viele spezielle Fachkenntnisse von Nöten sind. Dabei geht es um weitaus mehr als um Sauberkeit, vielmehr geht es um Hygiene.
Für die Ausbildung wird mindestens die erweiterte Berufsbildungsreife (eBBR) benötigt. Besser ist ein mittlerer Schulabschluss (MSA). Gerade aufgrund der häufig wechselnden Einsatzorte als Glas- und Gebäudereiniger/in ist ein Führerschein unbedingt sinnvoll. (Wir unterstützen Sie bei der Finanzierung der Fahrerlaubnis B). Mehr zu dem Berufsbild und der Ausbildung erfahren Sie direkt bei integra.","[DeepL:] integra gGmbH offers the possibility of dual training as a glass and building cleaner.
Glass and building cleaners are responsible for maintenance cleaning and numerous other areas. They clean desks, cupboards and floors, vacuum carpets, empty waste garbage cans, clean sanitary facilities and much more.
Building cleaners are a trade recognized by the Chamber of Crafts with dual training, for which many special skills are needed. It is about much more than cleanliness, it is about hygiene.
For the training, at least the extended vocational training maturity (eBBR) is required. An intermediate school leaving certificate (MSA) is better. A driver's license is absolutely essential, especially because of the frequently changing work locations as a glass and building cleaner. (We will support you in financing the B driving license). You can find out more about the job description and training directly from integra.",9749276938bd792e,Ausbildung zum Glas- und Gebäudereiniger/in
"Seidenmalerei macht sehr viel Spaß. Die schönsten Effekte kannst du erzielen, wenn du die Farben ineinander laufen lässt. Durch eine Vielzahl an Farbkombinationen gibt es hier nahezu unendliche Möglichkeiten.
Du kannst frei gestalten oder unter Anleitung deine Motive seidig glänzend darstellen. Die Kurse werden im Integral Begegnungszentrum angeboten. Die offenen Kursangebot sind das Herzstück unserer Arbeit. Die Kurse finden in unseren rollstuhlgerechten Räumen statt und die Arbeitsräume sind entsprechend den Kursinhalten ausgestattet. Geleitet werden die Angebote von unseren Mitarbeitenden und ehrenamtlichen Helfer*innen. Es ist keine Anmeldung nötig und die Kurse stehen allen Menschen offen. Die Teilnahme an einem Kurs kostet 1,00 € und es können noch Materialkosten anfallen.

Du möchtest mit uns reden? Ruf uns an! Montag bis Freitag sind wir von 10.00 – 13.00 Uhr erreichbar. Unsere Telefonnummer ist 030 296 09 68","[DeepL:] Silk painting is a lot of fun. You can achieve the most beautiful effects when you let the colors run into each other. Through a variety of color combinations, there are almost endless possibilities here.
You can create freely or under guidance your motifs silky shiny. The courses are offered at the Integral Begegnungszentrum. The open courses are the heart of our work. The courses take place in our wheelchair accessible rooms and the workrooms are equipped according to the course content. The courses are led by our staff and volunteers. No registration is necessary and the courses are open to everyone. Participation in a course costs € 1.00 and there may be material costs.

You want to talk to us? Call us! Monday to Friday we are available from 10.00 - 13.00. Our phone number is 030 296 09 68",9aab97e56c0b1863,Seidenmalerei
"Unser 2003 errichtetes, modernes Seniorenheim liegt im Herzen von Steglitz, unweit des Botanischen Gartens, der somit ein beliebtes Ausflugsziel für unsere Bewohner darstellt.

Pflegebedürftige Menschen finden bei uns ein freundliches und liebevolles Zuhause. Mit 42 Einbett- und 6 Zweibettzimmern bietet das Heim eine familiäre, sehr persönliche Atmosphäre, wo Anonymität ein Fremdwort ist und eine enge Beziehung zwischen dem Personal und den Bewohnern bzw. deren Angehörigen und Betreuern besteht.

Auf unserem Gelände befindet sich eine sehr schöne Gartenanlage mit kleinem Teich, Sitzmöglichkeiten, Sonnenschirmen und Rabatten, was unwillkürlich zum Verweilen an der frischen Luft einlädt.","[DeepL:] Our modern retirement home, built in 2003, is located in the heart of Steglitz, not far from the Botanical Garden, which is thus a popular destination for our residents.

People in need of care will find a friendly and loving home with us. With 42 one-bed and 6 two-bed rooms, the home offers a familiar, very personal atmosphere where anonymity is a foreign word and there is a close relationship between the staff and the residents or their relatives and caregivers.

On our premises there is a very beautiful garden with a small pond, seating, sunshades and borders, which involuntarily invites you to linger in the fresh air.",b1c5c371a17bf92d,Advent-Wohlfahrtswerk Seniorenheim Steglitz gGmbH
"Durch das Training und die Begleitung durch Pädagogen zu Vereinen wird an folgenden Zielen gearbeitet:

* Verselbstständigung der Kinder
* Umgang mit Frust
* Teamfähigkeit
* Erfolgserfahrungen
* Steigerung des Selbstbewusstseins
* Aktivierung von Eltern
* Verbesserung der sportlichen Fähigkeiten
* und vieles mehr…

Durch intensive Elternarbeit, Kontaktaufbau zu Fußballvereinen, Wegetraining und Trainingsbegleitung, aber auch ein wöchentlich stattfindendes Training schafft KIDZ United eine Brücke zwischen Straßen- und Vereinsfußball. Anfänglich ehrenamtlich von KIDZ e.V. angeboten wird das Projekt nun von der DFL Stiftung finanziert. Das Training wird durch zwei Pädagogen begleitet, welche mit den Kindern während des Sports an wichtigen Schlüsselqualifikationen, wie zum Beispiel den Umgang mit Frust, arbeiten","[DeepL:] Through training and accompaniment by educators to clubs, the following goals are worked on:

* Making the children independent
* Dealing with frustration
* ability to work in a team
* Experience of success
* Increase of self-confidence
* Activation of parents
* improvement of athletic skills
* and much more...

KIDZ United creates a bridge between street and club soccer through intensive work with parents, contact building with soccer clubs, pathway training and training support, as well as a weekly training session. Initially offered on a voluntary basis by KIDZ e.V., the project is now financed by the DFL Foundation. The training is accompanied by two educators, who work with the children during the sport on important key skills, such as dealing with frustration.",1b85722681f27b30,KIDZ United – Wir VEREINen!
"Die Teilnehmer\*innen lernen die Grundlagen des Computers (Bildschirm, Maus, Tastatur) und den Umgang mit Ordnerstrukturen und Dateien kennen. Sie erstellen mit Hilfe von Open Office kleine Texte für ihre eigenen Bedürfnisse.
Darüber hinaus werden sie zur Internetrecherche angeleitet, in die digitale Kommunikation (Videokonferenzen) z.B. mit Zoom und Jitsi eingeführt und lernen mit digitalen Arbeits-Plattformen, wie der Anton App oder dem Berliner Lernraum im Rahmen des Homeschooling umzugehen.1 x in der Woche Computer-Werkstatt, sowie begleitete Online-Learning – Angebote.  Werkstätten für Anfänger\*innen und Fortgeschrittene. Das Projekt wird von Formatwechsel e.V. in Kooperation mit dem Mehrgenerationenhaus Wassertor e.V. angeboten. Gefördert durch das Bezirksamt Friedrichshain-Kreuzberg.","[DeepL:] The participants learn the basics of the computer (screen, mouse, keyboard) and the handling of folder structures and files. They create small texts for their own needs with the help of Open Office.
In addition, they are instructed in Internet research, introduced to digital communication (video conferencing), e.g. with Zoom and Jitsi, and learn how to use digital work platforms such as the Anton App or the Berlin Learning Room in the context of homeschooling.  Workshops for beginners and advanced learners. The project is offered by Formatwechsel e.V. in cooperation with the Mehrgenerationenhaus Wassertor e.V.. Funded by the district office Friedrichshain-Kreuzberg.",2c3442097d6b99b5,Medienkompetenz für Alle!
"Wir laden Deutsch-Lernende und Deutsch-Muttersprachler:innen ein: Jeden 2. und 4. Mittwoch treffen wir uns von 18:30 bis 21:00 Uhr zum gemeinsamen Deutschsprechen auf dem Campus Kiezspindel.
Außerdem  machen wir jedes Mal zusammen Kunst. Von Guy wir lernen verschiedene einfache Techniken, um sich auszudrücken: Collagen, Postkarten, Zeichnen, Arbeit mit Farben, ... Jedes Mal gibt es ein Thema, zu dem wir uns unterhalten. Ihr könnt aber auch zusammen für Prüfungen lernen oder den Raum nutzen, Euch mit Freund:innen zu treffen. EIn Projekt von Campus Kiezspindel, Offensiv 91 und interaxion. Gefördert vom Bezirksamt Treptow-Köpenick","[DeepL:] We invite German learners and native German speakers: Every 2nd and 4th Wednesday we meet from 18:30 to 21:00 to speak German together on the Campus Kiezspindel.
We also make art together every time. From Guy we learn different simple techniques to express ourselves: collages, postcards, drawing, working with colors, ... Each time there is a theme on which we talk. You can also study together for exams or use the space to meet with friends. A project of Campus Kiezspindel, Offensiv 91 and interaxion. Supported by the district office of Treptow-Köpenick.",e345e122942d2968,Sprachcafé im Stadtteilzentrum Campus Kiezspindel
"Wir bieten psychosoziale und soziale Beratung. Unser Angebot richtet sich an:
* Patient\*innen
* Eltern
* Partner\*innen
* Geschwister
* alle weiteren Angehörigen von mukoviszidoseerkrankten Menschen

Weiterhin beraten wir Fachkräfte zum Beispiel aus Kitas, Schulen oder anderen sozialen Einrichtungen. Auch stehen wir gern Arbeitgeber\*innen für Gespräche und zur Informationsvermittlung zur Verfügung.
In unseren Beratungen arbeiten wir ressourcenorientiert und beziehen immer die vorhandenen Ressourcen der Ratsuchenden mit ein bzw. unterstützen wir durch das Aufzeigen möglicher Ressourcen.
Für uns ist das Leitbild der Selbsthilfe und der Selbstbestimmung der Ratsuchenden handlungsleitend. Ziel ist es, Hilfe zur Selbsthilfe zu bieten. Wir verstehen uns als Begleiterinnen und Unterstützerinnen. Allein die Beratungsnutzer\*innen bestimmen das Ziel und den Weg. Nichts geschieht ohne die Einwilligung der Beratungsnutzer\*innen. Eine notwendige Kommunikation mit Dritten erfolgt nur gemeinsam mit den Ratsuchenden.
Gespräche werden selbstverständlich vertraulich behandelt: „Nichts verlässt den Raum“.","[DeepL:] We offer psychosocial and social counseling. Our offer is aimed at:
* patients
* parents
* partners
* siblings
* all other relatives of people with cystic fibrosis

Furthermore, we advise professionals, for example from daycare centers, schools or other social institutions. We are also available to employers for discussions and to provide information.
In our consultations, we work in a resource-oriented way and always include the existing resources of those seeking advice or support them by pointing out possible resources.
For us, the guiding principle is self-help and self-determination of those seeking advice. Our goal is to offer help for self-help. We see ourselves as companions and supporters. Only the users of counseling determine the goal and the path. Nothing happens without the consent of the counseling users. Any necessary communication with third parties only takes place together with the person seeking advice.
Conversations are, of course, treated confidentially: ""Nothing leaves the room"".",d409229b671908d9,Mukoviszidose Kontakt- und Beratungsstelle
"Wir helfen Mensch, bei denen besondere Lebensverhältnisse mit sozialen Schwierigkeiten verbunden sind und die aus eigener Kraft nicht in der Lage sind, ihre sozialen Schwierigkeiten selbst zu überwinden. In unseren Übergangshäusern in Neukölln und Lichtenberg stehen 28 bzw. 15 möblierte Einzelzimmer zur Verfügung (BÜW). Die sozialpädagogische Unterstützung erfolgt in den Lebensbereichen Wohnen, wirtschaftliche Verhältnisse, Arbeit/Qualifikation, rechtliche und soziale Situation sowie Gesundheit durch entsprechende Beratung und Anleitung. Es besteht die Möglichkeit, zu Ämtern und Behörden begleitet zu werden. Das Team von Carpe Diem heißt Sie bereits heute recht herzlich willkommen.","[DeepL:] We help people for whom special living conditions are associated with social difficulties and who are unable to overcome their social difficulties on their own. In our transition houses in Neukölln and Lichtenberg, 28 and 15 furnished single rooms are available respectively (BÜW). Socio-pedagogical support is provided in the areas of housing, economic circumstances, work/qualifications, legal and social situation, and health through appropriate counseling and guidance. It is possible to be accompanied to offices and authorities. The team of Carpe Diem welcomes you already today quite cordially.",03e1467cc4428a20,Betreutes Übergangswohnen
"Das erste landesweite queere Jugendzentrum in Berlin für junge Lesben, Schwule, Bi-, Trans*, Inter* und Queers zwischen 14 und 27 Jahren sowie für interessierte Jugendliche inklusive Jugendcafé, Beratungsmöglichkeiten, Jugendgruppen und -projekten.
Beratung
Stress zu Hause? Liebeskummer? Fragen dazu, was es für Angebot für queere jugendliche in Berlin gibt? Mach gerne einen Termin unter beratung (at) lambda-bb.de aus und komm zu einem Gespräch vorbei.
<br><br>Gruppen<br>
Es wird neue Gruppenangebote geben, die ihr demnächst, wie die anderen Jugendruppen unter unserem Menüpunkt Jugendgruppen finden werdet. Neben den Jugendgruppen wollen wir auch ein Eltern- und Angehörigenangebot schaffen. Die Termin werden wir auf unserer Homepage bekannt geben.
Freizeitgestaltung
Als Jugendzentrum können wir vermehrt Freizeitangebote schaffen, die ihr über die Website und natürlich auch auf unserer Facebookseite erfahren könnt.","[DeepL:] The first statewide queer youth center in Berlin for young lesbians, gays, bi-, trans*, inter* and queers between the ages of 14 and 27 as well as for interested young people including a youth café, counseling opportunities, youth groups and projects.
Counseling
Stress at home? Lovesickness? Questions about what is available for queer youth in Berlin? Feel free to make an appointment at beratung (at) lambda-bb.de and come by for a talk.
<br><br>Groups<br>
There will be new group offers, which you will find soon, like the other youth groups under our menu item youth groups. In addition to the youth groups, we also want to create a parents and relatives offer. We will announce the dates on our homepage.
Recreational activities
As a youth center we can create more leisure activities, which you can find out about on our website and of course on our Facebook page.",956510a840ad0b7f,Queeres Jugendzentrum
"Der Treffpunkt von Selbsthilfegruppen in Marzahn-Hellersdorf mit Erfahrungsaustausch und Informationsvermittlung, Unterstützung der Selbsthilfestrukturen, Clearing und Beratung rund um die Möglichkeiten der Selbsthilfe, Informationsveranstaltungen, Ehrenamt, Fachbücherei sowie Fortbildung und Soziale Begegnung in unserem Kontaktcafe.","[DeepL:] The meeting place of self-help groups in Marzahn-Hellersdorf with exchange of experience and information, support of self-help structures, clearing and advice around the possibilities of self-help, information events, volunteering, specialized library as well as training and social meeting in our contact cafe.",5bebf9d7d7a9ba6d,"Selbsthilfe-, Kontakt- und Beratungsstelle Marzahn-Hellersdorf"
